nb_moves,highest_tile,score
146,128,1284
115,64,640
194,128,1500
98,64,616
193,128,1460
101,64,652
168,128,1332
235,256,2328
115,64,808
188,128,1444
132,128,948
151,128,1152
253,256,2420
151,128,1196
91,64,548
128,128,1084
96,64,572
131,64,856
187,128,1460
142,128,1140
73,64,456
254,256,2312
100,64,612
96,64,568
116,128,964
136,128,1024
111,64,644
126,64,844
89,64,540
107,64,624
140,64,928
98,64,676
119,64,720
141,128,1160
146,64,996
154,128,1232
152,128,1092
130,64,892
95,64,584
169,128,1296
88,64,564
128,128,988
188,128,1496
191,128,1532
170,128,1504
158,128,1216
108,32,604
108,64,716
206,128,1720
177,128,1260
162,128,1272
181,128,1352
255,128,2096
169,128,1304
179,128,1300
58,32,268
137,128,1116
206,256,1992
103,64,608
192,128,1516
82,32,420
172,128,1296
182,128,1392
93,64,568
97,64,596
124,64,776
138,128,1152
157,128,1312
125,128,980
201,128,1656
125,64,888
65,32,280
114,64,680
187,128,1472
103,64,624
107,64,644
153,128,1168
210,256,2348
121,64,704
131,128,1076
108,64,652
141,128,1296
205,128,1764
160,128,1228
81,32,400
165,128,1140
79,64,520
90,64,572
60,32,288
135,64,720
208,128,1736
185,128,1448
100,64,624
213,256,2296
94,64,612
246,256,2404
224,256,2308
101,64,600
154,128,1324
109,64,704
